Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Akron,0,13,36,23.0,13.0,0.6388888888888888,10.0,6.0,0.625,66.8,60.3,6.5,3.37,-2.0,823,1969,0.4179786693753174,565,1193,0.47359597652975693,258,776,0.3324742268041237,499,705,0.7078014184397163,1199,446,270,80,2403
American,0,14,32,24.0,8.0,0.75,13.0,1.0,0.9285714285714286,64.5,59.1,5.399999999999999,-0.05,-5.49,751,1614,0.4653035935563817,521,999,0.5215215215215215,230,615,0.37398373983739835,333,514,0.6478599221789884,1046,421,176,79,2065
Arizona State,1,6,35,25.0,10.0,0.7142857142857143,11.0,7.0,0.6111111111111112,69.4,60.5,8.900000000000006,16.7,7.82,825,1718,0.48020954598370197,537,940,0.5712765957446808,288,778,0.37017994858611825,490,665,0.7368421052631579,1085,544,201,72,2428
Arizona,2,12,35,21.0,14.0,0.6,9.0,9.0,0.5,72.3,69.2,3.0999999999999943,11.88,8.8,897,1892,0.4741014799154334,685,1344,0.5096726190476191,212,548,0.38686131386861317,523,709,0.7376586741889986,1183,500,217,104,2529
Binghamton,0,15,32,23.0,9.0,0.71875,13.0,3.0,0.8125,70.0,67.4,2.5999999999999943,-3.27,-5.62,778,1764,0.4410430839002268,586,1189,0.4928511354079058,192,575,0.3339130434782609,491,733,0.669849931787176,1101,383,227,134,2239
Boston College,0,7,34,22.0,12.0,0.6470588235294118,9.0,7.0,0.5625,74.4,70.5,3.9000000000000057,10.36,7.23,885,2000,0.4425,668,1351,0.4944485566247224,217,649,0.33436055469953774,541,733,0.73806275579809,1259,503,208,147,2528
BYU,0,8,33,25.0,8.0,0.7575757575757576,12.0,4.0,0.75,77.1,65.2,11.899999999999991,15.12,4.15,909,1879,0.48376796168174563,671,1255,0.5346613545816733,238,624,0.3814102564102564,488,669,0.7294469357249627,1196,537,241,119,2544
Butler,0,9,32,26.0,6.0,0.8125,15.0,3.0,0.8333333333333334,67.8,57.9,9.899999999999999,10.07,2.07,705,1609,0.4381603480422623,448,878,0.510250569476082,257,731,0.35157318741450067,501,692,0.7239884393063584,1094,417,193,102,2168
Cal State Northridge,0,15,31,17.0,14.0,0.5483870967741935,11.0,5.0,0.6875,73.6,70.3,3.299999999999997,2.65,-0.14,821,1808,0.4540929203539823,606,1199,0.5054211843202668,215,609,0.3530377668308703,425,611,0.6955810147299509,1150,430,276,83,2282
University of California,0,7,33,22.0,11.0,0.6666666666666666,11.0,7.0,0.6111111111111112,74.9,68.8,6.1000000000000085,13.3,7.21,892,1848,0.48268398268398266,682,1356,0.5029498525073747,210,492,0.4268292682926829,478,633,0.7551342812006319,1113,509,159,66,2472
Chattanooga,0,16,35,18.0,17.0,0.5142857142857142,11.0,9.0,0.55,75.9,76.8,-0.8999999999999915,-6.25,-3.13,877,2002,0.43806193806193805,588,1181,0.497883149872989,289,821,0.3520097442143727,614,935,0.6566844919786097,1374,477,218,79,2657
Clemson,0,7,32,23.0,9.0,0.71875,9.0,7.0,0.5625,78.3,68.0,10.299999999999997,15.55,6.59,912,1971,0.4627092846270928,656,1287,0.5097125097125097,256,684,0.3742690058479532,427,621,0.6876006441223832,1189,478,298,187,2507
Cleveland State,1,13,37,26.0,11.0,0.7027027027027027,12.0,6.0,0.6666666666666666,66.4,59.5,6.900000000000006,6.97,2.12,882,2043,0.43171806167400884,702,1465,0.47918088737201364,180,578,0.31141868512110726,511,729,0.700960219478738,1267,512,320,118,2455
UConn,4,1,36,31.0,5.0,0.8611111111111112,15.0,3.0,0.8333333333333334,78.3,64.2,14.099999999999994,22.17,8.57,996,2102,0.4738344433872502,831,1618,0.5135970333745364,165,484,0.3409090909090909,662,976,0.6782786885245902,1559,567,209,280,2819
Cornell,0,14,31,21.0,10.0,0.6774193548387096,11.0,3.0,0.7857142857142857,73.6,64.7,8.899999999999991,2.71,-4.01,821,1736,0.472926267281106,580,1149,0.504786771105309,241,587,0.41056218057921634,398,545,0.7302752293577982,1105,482,203,121,2281
Dayton,1,11,35,27.0,8.0,0.7714285714285715,11.0,5.0,0.6875,66.8,61.4,5.399999999999999,7.16,1.76,831,1972,0.4213995943204868,641,1393,0.4601579325197416,190,579,0.3281519861830743,487,752,0.6476063829787234,1328,485,227,124,2339
Duke,2,2,37,30.0,7.0,0.8108108108108109,11.0,5.0,0.6875,77.5,65.9,11.599999999999994,20.1,9.07,971,2186,0.4441903019213175,704,1420,0.49577464788732395,267,766,0.34856396866840733,658,904,0.7278761061946902,1348,492,311,146,2867
ETSU,0,16,34,23.0,11.0,0.6764705882352942,14.0,6.0,0.7,78.1,70.1,8.0,3.21,-1.87,944,2044,0.461839530332681,749,1454,0.515130674002751,195,590,0.3305084745762712,574,810,0.7086419753086419,1290,429,287,131,2657
Florida State,0,5,35,25.0,10.0,0.7142857142857143,10.0,6.0,0.625,68.3,64.9,3.3999999999999915,11.37,7.91,820,1886,0.43478260869565216,604,1255,0.48127490039840637,216,631,0.34231378763866877,536,739,0.7253044654939107,1253,423,284,202,2392
Gonzaga,2,4,34,28.0,6.0,0.8235294117647058,14.0,0.0,1.0,78.9,63.0,15.900000000000006,17.95,3.55,967,1982,0.48789101917255295,716,1339,0.5347274085138163,251,643,0.39035769828926903,499,696,0.7169540229885057,1276,512,246,174,2684
Illinois,0,5,34,24.0,10.0,0.7058823529411765,11.0,7.0,0.6111111111111112,64.8,57.2,7.599999999999994,14.38,6.73,859,1865,0.4605898123324397,671,1328,0.5052710843373494,188,537,0.3500931098696462,298,419,0.711217183770883,1127,595,199,122,2204
